case_id,scenario,length,run,algorithm,build_time_ms,query_time_ms,total_time_ms,peak_memory_kib,build_peak_memory_kib,query_peak_memory_kib,query_extra_memory_kib,index_size_kib,lcs_length
random_uniform_n100_c1,random_uniform,100,1,Suffix Automaton,0.279,0.0609,0.33990000000000004,28.3857421875,27.5390625,28.3857421875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,1,Enhanced Suffix Array,0.7903,0.0687,0.859,16.439453125,16.439453125,16.400390625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,2,Suffix Automaton,0.2024,0.0551,0.2575,14.2451171875,13.3984375,14.2451171875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,2,Enhanced Suffix Array,0.4547,0.0655,0.5202,5.556640625,5.556640625,5.509765625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,3,Suffix Automaton,0.1909,0.0504,0.2413,14.2373046875,13.390625,14.2373046875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,3,Enhanced Suffix Array,0.5652,0.0819,0.6471,5.556640625,5.556640625,5.392578125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,4,Suffix Automaton,0.2008,0.0533,0.2541,14.2294921875,13.3828125,14.2294921875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,4,Enhanced Suffix Array,0.4436,0.0794,0.523,5.556640625,5.556640625,5.384765625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,5,Suffix Automaton,0.2053,0.054,0.25930000000000003,14.2216796875,13.375,14.2216796875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,5,Enhanced Suffix Array,0.3901,0.0613,0.4514,5.556640625,5.556640625,5.376953125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,6,Suffix Automaton,0.1836,0.0501,0.23370000000000002,14.2138671875,13.3671875,14.2138671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,6,Enhanced Suffix Array,0.4026,0.0648,0.46740000000000004,5.556640625,5.556640625,5.369140625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,7,Suffix Automaton,0.1955,0.0516,0.24710000000000001,14.1982421875,13.3515625,14.1982421875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,7,Enhanced Suffix Array,0.3865,0.0609,0.4474,5.556640625,5.556640625,5.353515625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,8,Suffix Automaton,0.2051,0.0534,0.2585,14.1904296875,13.34375,14.1904296875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,8,Enhanced Suffix Array,0.3935,0.0639,0.45740000000000003,5.556640625,5.556640625,5.345703125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,9,Suffix Automaton,0.1881,0.0501,0.2382,14.1826171875,13.3359375,14.1826171875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,9,Enhanced Suffix Array,0.4031,0.0646,0.4677,5.556640625,5.556640625,5.337890625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,10,Suffix Automaton,0.2047,0.0537,0.25839999999999996,14.1748046875,13.328125,14.1748046875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,10,Enhanced Suffix Array,0.3947,0.0628,0.4575,5.556640625,5.556640625,5.330078125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,11,Suffix Automaton,0.2071,0.0537,0.26080000000000003,14.1669921875,13.3203125,14.1669921875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,11,Enhanced Suffix Array,0.4039,0.0663,0.47019999999999995,5.556640625,5.556640625,5.322265625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,12,Suffix Automaton,0.1956,0.0512,0.2468,14.1591796875,13.3125,14.1591796875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,12,Enhanced Suffix Array,0.4856,0.0665,0.5521,5.556640625,5.556640625,5.314453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,13,Suffix Automaton,0.2154,0.055,0.27040000000000003,14.1513671875,13.3046875,14.1513671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,13,Enhanced Suffix Array,0.413,0.0659,0.4789,5.556640625,5.556640625,5.306640625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,14,Suffix Automaton,0.2107,0.0561,0.2668,14.1435546875,13.296875,14.1435546875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,14,Enhanced Suffix Array,0.4021,0.063,0.4651,5.556640625,5.556640625,5.298828125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,15,Suffix Automaton,0.2034,0.0529,0.2563,14.1279296875,13.28125,14.1279296875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,15,Enhanced Suffix Array,0.3961,0.0628,0.4589,5.556640625,5.556640625,5.283203125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,16,Suffix Automaton,0.1913,0.0498,0.24109999999999998,14.1201171875,13.2734375,14.1201171875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,16,Enhanced Suffix Array,0.4647,0.0674,0.5321,5.556640625,5.556640625,5.275390625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,17,Suffix Automaton,0.2494,0.0554,0.3048,14.1123046875,13.265625,14.1123046875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,17,Enhanced Suffix Array,0.3945,0.0622,0.4567,5.556640625,5.556640625,5.267578125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,18,Suffix Automaton,0.2103,0.0554,0.2657,14.1044921875,13.2578125,14.1044921875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,18,Enhanced Suffix Array,0.403,0.0651,0.4681,5.556640625,5.556640625,5.259765625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,19,Suffix Automaton,0.198,0.0519,0.2499,14.0966796875,13.25,14.0966796875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,19,Enhanced Suffix Array,0.4415,0.0661,0.5076,5.556640625,5.556640625,5.251953125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,20,Suffix Automaton,0.209,0.0529,0.2619,14.0888671875,13.2421875,14.0888671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,20,Enhanced Suffix Array,0.3935,0.0618,0.45530000000000004,5.556640625,5.556640625,5.244140625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,21,Suffix Automaton,0.1947,0.0512,0.2459,14.0810546875,13.234375,14.0810546875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,21,Enhanced Suffix Array,0.4075,0.0653,0.4728,5.556640625,5.556640625,5.236328125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,22,Suffix Automaton,0.1975,0.0511,0.24860000000000002,14.0732421875,13.2265625,14.0732421875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,22,Enhanced Suffix Array,0.3853,0.061,0.4463,5.556640625,5.556640625,5.228515625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,23,Suffix Automaton,0.2062,0.054,0.2602,14.0576171875,13.2109375,14.0576171875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,23,Enhanced Suffix Array,0.4024,0.0643,0.4667,5.556640625,5.556640625,5.212890625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,24,Suffix Automaton,0.2013,0.0527,0.254,14.0498046875,13.203125,14.0498046875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,24,Enhanced Suffix Array,0.4098,0.0648,0.4746,5.556640625,5.556640625,5.205078125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,25,Suffix Automaton,0.2076,0.0534,0.261,14.0419921875,13.1953125,14.0419921875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,25,Enhanced Suffix Array,0.3884,0.0617,0.4501,5.556640625,5.556640625,5.197265625,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,26,Suffix Automaton,0.2172,0.0575,0.2747,14.0341796875,13.1875,14.0341796875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,26,Enhanced Suffix Array,0.3967,0.0633,0.45999999999999996,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,27,Suffix Automaton,0.1863,0.0493,0.23559999999999998,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,27,Enhanced Suffix Array,0.5608,0.0784,0.6392,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,28,Suffix Automaton,0.204,0.0535,0.2575,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,28,Enhanced Suffix Array,0.3894,0.0612,0.4506,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,29,Suffix Automaton,0.2728,0.0603,0.3331,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,29,Enhanced Suffix Array,0.4036,0.0647,0.4683,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,30,Suffix Automaton,0.1971,0.05,0.2471,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,30,Enhanced Suffix Array,0.3863,0.061,0.4473,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,31,Suffix Automaton,0.2066,0.0533,0.2599,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,31,Enhanced Suffix Array,0.3972,0.0631,0.4603,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,32,Suffix Automaton,0.1853,0.0501,0.2354,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,32,Enhanced Suffix Array,0.4073,0.0657,0.473,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
