case_id,scenario,length,run,algorithm,build_time_ms,query_time_ms,total_time_ms,peak_memory_kib,build_peak_memory_kib,query_peak_memory_kib,query_extra_memory_kib,index_size_kib,lcs_length
random_uniform_n100_c1,random_uniform,100,1,Suffix Automaton,0.2968,0.0653,0.3621,28.3857421875,27.5390625,28.3857421875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,1,Enhanced Suffix Array,0.8632,0.0744,0.9376,31.556640625,31.556640625,29.822265625,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,2,Suffix Automaton,0.2425,0.0547,0.2972,14.3076171875,13.4609375,14.3076171875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,2,Enhanced Suffix Array,0.5508,0.0644,0.6152,7.431640625,7.431640625,5.689453125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,3,Suffix Automaton,0.2122,0.056,0.2682,14.2373046875,13.390625,14.2373046875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,3,Enhanced Suffix Array,0.5778,0.0705,0.6483,7.408203125,7.408203125,5.626953125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,4,Suffix Automaton,0.2055,0.0551,0.2606,14.2294921875,13.3828125,14.2294921875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,4,Enhanced Suffix Array,0.4815,0.0679,0.5494,7.408203125,7.408203125,5.619140625,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,5,Suffix Automaton,0.3656,0.1243,0.4899,14.2216796875,13.375,14.2216796875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,5,Enhanced Suffix Array,0.5035,0.0711,0.5746,7.408203125,7.408203125,5.611328125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,6,Suffix Automaton,0.2032,0.055,0.2582,14.2138671875,13.3671875,14.2138671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,6,Enhanced Suffix Array,0.5238,0.0753,0.5991000000000001,7.408203125,7.408203125,5.603515625,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,7,Suffix Automaton,0.2305,0.061,0.2915,14.1982421875,13.3515625,14.1982421875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,7,Enhanced Suffix Array,0.496,0.0694,0.5654,7.408203125,7.408203125,5.587890625,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,8,Suffix Automaton,0.2882,0.0636,0.3518,14.1904296875,13.34375,14.1904296875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,8,Enhanced Suffix Array,0.5387,0.0748,0.6134999999999999,7.408203125,7.408203125,5.580078125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,9,Suffix Automaton,0.1967,0.0515,0.2482,14.1826171875,13.3359375,14.1826171875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,9,Enhanced Suffix Array,0.471,0.0674,0.5384,7.408203125,7.408203125,5.572265625,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,10,Suffix Automaton,0.2182,0.0584,0.2766,14.1748046875,13.328125,14.1748046875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,10,Enhanced Suffix Array,0.4813,0.0675,0.5488,7.408203125,7.408203125,5.564453125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,11,Suffix Automaton,0.2101,0.0575,0.2676,14.1669921875,13.3203125,14.1669921875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,11,Enhanced Suffix Array,0.4848,0.0688,0.5536,7.408203125,7.408203125,5.556640625,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,12,Suffix Automaton,0.2081,0.057,0.2651,14.1591796875,13.3125,14.1591796875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,12,Enhanced Suffix Array,0.4974,0.069,0.5664,7.408203125,7.408203125,5.548828125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,13,Suffix Automaton,0.2165,0.0583,0.2748,14.1513671875,13.3046875,14.1513671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,13,Enhanced Suffix Array,0.5008,0.0709,0.5717,7.408203125,7.408203125,5.541015625,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,14,Suffix Automaton,0.2353,0.0578,0.2931,14.1435546875,13.296875,14.1435546875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,14,Enhanced Suffix Array,0.4959,0.0685,0.5644,7.408203125,7.408203125,5.533203125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,15,Suffix Automaton,0.2038,0.0563,0.2601,14.1279296875,13.28125,14.1279296875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,15,Enhanced Suffix Array,0.4807,0.0679,0.5486,7.408203125,7.408203125,5.517578125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,16,Suffix Automaton,0.2024,0.0541,0.2565,14.1201171875,13.2734375,14.1201171875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,16,Enhanced Suffix Array,0.4458,0.0621,0.5079,7.408203125,7.408203125,5.509765625,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,17,Suffix Automaton,0.2192,0.0595,0.2787,14.1123046875,13.265625,14.1123046875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,17,Enhanced Suffix Array,0.4617,0.065,0.5267,7.408203125,7.408203125,5.501953125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,18,Suffix Automaton,0.1817,0.0496,0.2313,14.1044921875,13.2578125,14.1044921875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,18,Enhanced Suffix Array,0.5506,0.0749,0.6255,7.408203125,7.408203125,5.494140625,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,19,Suffix Automaton,0.21,0.0693,0.2793,14.0966796875,13.25,14.0966796875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,19,Enhanced Suffix Array,0.4572,0.0652,0.5224,7.408203125,7.408203125,5.486328125,1.5859375,9.271484375,3
random_uniform_n100_c1,random_uniform,100,20,Suffix Automaton,0.2141,0.0568,0.27090000000000003,14.0888671875,13.2421875,14.0888671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,20,Enhanced Suffix Array,0.464,0.0657,0.5297000000000001,7.408203125,7.408203125,5.478515625,1.5859375,9.271484375,3
mutated_implant_n100_c1,mutated_implant,100,1,Suffix Automaton,0.2727,0.0774,0.35009999999999997,21.0087890625,19.84375,21.0087890625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,1,Enhanced Suffix Array,1.523,0.1012,1.6241999999999999,7.408203125,7.408203125,4.5625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,2,Suffix Automaton,0.2898,0.0802,0.37,21.0634765625,19.8984375,21.0634765625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,2,Enhanced Suffix Array,0.82,0.0509,0.8709,7.408203125,7.408203125,4.5546875,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,3,Suffix Automaton,0.3002,0.0826,0.38280000000000003,20.9853515625,19.8203125,20.9853515625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,3,Enhanced Suffix Array,0.7883,0.0478,0.8361,7.408203125,7.408203125,4.5390625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,4,Suffix Automaton,0.2657,0.0786,0.3443,20.9775390625,19.8125,20.9775390625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,4,Enhanced Suffix Array,0.8532,0.0509,0.9040999999999999,7.408203125,7.408203125,4.53125,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,5,Suffix Automaton,0.284,0.0791,0.3631,20.9697265625,19.8046875,20.9697265625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,5,Enhanced Suffix Array,0.7707,0.0456,0.8163,7.408203125,7.408203125,4.5234375,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,6,Suffix Automaton,0.3041,0.0882,0.3923,20.9619140625,19.796875,20.9619140625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,6,Enhanced Suffix Array,0.7988,0.049,0.8478,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,7,Suffix Automaton,0.2816,0.0796,0.3612,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,7,Enhanced Suffix Array,0.8826,0.0538,0.9364,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,8,Suffix Automaton,0.2868,0.0786,0.3654,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,8,Enhanced Suffix Array,0.7892,0.0467,0.8359,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,9,Suffix Automaton,0.359,0.0916,0.4506,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,9,Enhanced Suffix Array,0.9032,0.0554,0.9586,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,10,Suffix Automaton,0.3366,0.0984,0.435,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,10,Enhanced Suffix Array,0.8336,0.0505,0.8841,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,11,Suffix Automaton,0.3428,0.0915,0.4343,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,11,Enhanced Suffix Array,1.5893,0.0617,1.651,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,12,Suffix Automaton,0.2975,0.0833,0.38079999999999997,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,12,Enhanced Suffix Array,0.8999,0.0521,0.9520000000000001,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,13,Suffix Automaton,0.3417,0.0957,0.4374,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,13,Enhanced Suffix Array,0.7942,0.049,0.8432000000000001,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,14,Suffix Automaton,0.3013,0.0868,0.3881,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,14,Enhanced Suffix Array,0.8601,0.0526,0.9127,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,15,Suffix Automaton,0.3407,0.1018,0.4425,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,15,Enhanced Suffix Array,0.9384,0.0595,0.9979,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,16,Suffix Automaton,0.3393,0.0952,0.4345,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,16,Enhanced Suffix Array,0.9111,0.0538,0.9649,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,17,Suffix Automaton,0.3981,0.1026,0.5007,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,17,Enhanced Suffix Array,0.8148,0.05,0.8648,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,18,Suffix Automaton,0.2768,0.0784,0.35519999999999996,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,18,Enhanced Suffix Array,0.8901,0.0525,0.9426,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,19,Suffix Automaton,0.3022,0.0847,0.3869,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,19,Enhanced Suffix Array,0.8856,0.0517,0.9373,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
mutated_implant_n100_c1,mutated_implant,100,20,Suffix Automaton,0.3484,0.0986,0.44699999999999995,20.9541015625,19.7890625,20.9541015625,1.4853515625,38.26953125,10
mutated_implant_n100_c1,mutated_implant,100,20,Enhanced Suffix Array,0.9322,0.0575,0.9897,7.408203125,7.408203125,4.515625,0.677734375,9.271484375,10
repetitive_with_noise_n100_c1,repetitive_with_noise,100,1,Suffix Automaton,0.3512,0.1393,0.49050000000000005,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,1,Enhanced Suffix Array,1.0909,0.0599,1.1508,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,2,Suffix Automaton,0.2828,0.1061,0.3889,21.5439453125,21.109375,21.5439453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,2,Enhanced Suffix Array,1.0489,0.0668,1.1157,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,3,Suffix Automaton,0.3336,0.1228,0.45640000000000003,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,3,Enhanced Suffix Array,1.0853,0.0608,1.1461,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
